"Abkhazian","abk"
"Achinese","ace"
"Acoli","ach"
"Adangme","ada"
"Adygei","ady"
"Adyghe","ady"
"Afar","aar"
"Afrihili","afh"
"Afrikaans","afr"
"Afro-Asiatic (Other)","afa"
"Akan","aka"
"Akkadian","akk"
"Albanian","alb/sqi"
"Aleut","ale"
"Algonquian languages","alg"
"Altaic (Other)","tut"
"Amharic","amh"
"Apache languages","apa"
"Arabic","ara"
"Aragonese","arg"
"Aramaic","arc"
"Arapaho","arp"
"Araucanian","arn"
"Arawak","arw"
"Armenian","arm/hye"
"Artificial (Other)","art"
"Assamese","asmAsturian","ast"
"Athapascan languages","ath"
"Australian languages","aus"
"Austronesian (Other)","map"
"Avaric","ava"
"Avestan","ave"
"Awadhi","awa"
"Aymara","aym"
"Azerbaijani","aze"
"Bable","ast"
"Balinese","ban"
"Baltic (Other)","bat"
"Baluchi","bal"
"Bambara","bam"
"Bamileke languages","bai"
"Banda","bad"
"Bantu (Other)","bnt"
"Basa","bas"
"Bashkir","bak"
"Basque","baq/eus"
"Batak (Indonesia)","btk"
"Beja","bej"
"Belarusian","bel"
"Bemba","bem"
"Bengali","ben"
"Berber (Other)","ber"
"Bhojpuri","bho"
"Bihari","bih"
"Bikol","bik"
"Bini","bin"
"Bislama","bis"
"Bokmål, Norwegian","nob"
"Bosnian","bos"
"Braj","bra"
"Breton","bre"
"Buginese","bug"
"Bulgarian","bul"
"Buriat","bua"
"Burmese","bur/mya"
"Caddo","cad"
"Carib","car"
"Castilian","spa"
"Catalan","cat"
"Caucasian (Other)","cau"
"Cebuano","ceb"
"Celtic (Other)","cel"
"Central American Indian (Other)","cai"
"Chagatai","chg"
"Chamic languages","cmc"
"Chamorro","cha"
"Chechen","che"
"Cherokee","chr" 
"Chewa","nya"
"Cheyenne","chy"
"Chibcha","chb"
"Chichewa","nya"
"Chinese","chi/zho"
"Chinook jargon","chn"
"Chipewyan","chp"
"Choctaw","cho"
"Chuang","zha"
"Church Slavic (Slavonic)","chu"
"Chuukese","chk"
"Chuvash","chv"
"Coptic","cop"
"Cornish","cor"
"Corsican","cos"
"Cree","cre" 
"Creek","mus" 
"Creoles and pidgins(Other)","crp"
"Creoles and pidgins, English-based (Other)","cpe"
"Creoles and pidgins, French-based (Other)","cpf"
"Creoles and pidgins, Portuguese-based (Other)","cpp"
"Crimean Tatar","crh"
"Crimean Turkish","crh"
"Croatian","scr/hrv"
"Cushitic (Other)","cus"
"Czech","cze/ces"
"Dakota","dak"
"Danish","dan"
"Dargwa","dar"
"Dayak","day"
"Delaware","del"
"Dinka","din"
"Divehi","div" 
"Dogri","doi"
"Dogrib","dgr" 
"Dravidian (Other)","dra"
"Duala","dua"
"Dutch","dut/nld"
"Dutch, Middle (ca. 1050-1350)","dum"
"Dyula","dyu"
"Dzongkha","dzo"
"Efik","efi"
"Egyptian (Ancient)","egy"
"Ekajuk","eka"
"Elamite","elx"
"English","eng"
"English, Middle (1100-1500)","enm"
"English, Old (ca.450-1100)","ang"
"Erzya","myv"
"Esperanto","epo"
"Estonian","est"
"Ewe","ewe"
"Ewondo","ewo"
"Fang","fan"
"Fanti","fat" 
"Faroese","fao"
"Fijian","fij"
"Finnish","fin"
"Finno-Ugrian (Other)","fiu"
"Fon","fon"
"French","fre/fra"
"French, Middle (ca.1400-1600)","frm"
"French, Old (842-ca.1400)","fro"
"Frisian","fry"
"Friulian","fur" 
"Fulah","ful"
"Ga","gaa"
"Gaelic","gla"
"Gallegan","glg"
"Ganda","lug"
"Gayo","gay"
"Gbaya","gba" 
"Geez","gez"
"Georgian","geo/kat"
"German","ger/deu"
"German, Low","nds" 
"German, Middle High (ca.1050-1500)","gmh"
"German, Old High (ca.750-1050)","goh"
"Germanic (Other)","gem"
"Gikuyu","kik"
"Gilbertese","gil"
"Gondi","gon"
"Gorontalo","gor"
"Gothic","got"
"Grebo","grb"
"Greek, Ancient (to 1453)","grc"
"Greek, Modern (1453-)","gre/ell"
"Guarani","grn"
"Gujarati","guj"
"Gwich´in","gwi"
"Haida","hai"
"Haitian","hat"
"Haitian Creole","hat"
"Hausa","hau"
"Hawaiian","haw"
"Hebrew","heb"
"Herero","her"
"Hiligaynon","hil"
"Himachali","him"
"Hindi","hin"
"Hiri Motu","hmo"
"Hittite","hit"
"Hmong","hmn"
"Hungarian","hun"
"Hupa","hup"
"Iban","iba"
"Icelandic","ice/isl"
"Ido","ido"
"Igbo","ibo" 
"Ijo","ijo"
"Iloko","ilo"
"Inari Sami","smn"
"Indic (Other)","inc"
"Indo-European (Other)","ine"
"Indonesian","ind"
"Ingush","inh"
"Interlingua (International Auxiliary Language Association)","ina"
"Interlingue","ile"
"Inuktitut","iku"
"Inupiaq","ipk"
"Iranian (Other)","ira"
"Irish","gle"
"Irish, Middle (900-1200)","mga"
"Irish, Old (to 900)","sga"
"Iroquoian languages","iro"
"Italian","ita"
"Japanese","jpn"
"Javanese","jav"
"Judeo-Arabic","jrb"
"Judeo-Persian","jpr"
"Kabardian","kbd"
"Kabyle","kab"
"Kachin","kac"
"Kalaallisut","kal"
"Kalmyk","xal"
"Kamba","kam"
"Kannada","kan"
"Kanuri","kau"
"Karachay-Balkar","krc"
"Kara-Kalpak","kaa"
"Karen","kar"
"Kashmiri","kas"
"Kashubian","csb"
"Kawi","kaw"
"Kazakh","kaz"
"Khasi","kha"
"Khmer","khm"
"Khoisan (Other)","khi"
"Khotanese","kho"
"Kikuyu","kik"
"Kimbundu","kmb"
"Kinyarwanda","kin"
"Kirghiz","kir"
"Komi","kom"
"Kongo","kon" 
"Konkani","kok" 
"Korean","kor"
"Kosraean","kos" 
"Kpelle","kpe" 
"Kru","kro" 
"Kuanyama","kua"
"Kumyk","kum" 
"Kurdish","kur"
"Kurukh","kru" 
"Kutenai","kut"
"Kwanyama","kua"
"Ladino","lad" 
"Lahnda","lah" 
"Lamba","lam" 
"Lao","lao"
"Latin","lat"
"Latvian","lav"
"Letzeburgesch","ltz"
"Lezghian (lezLimburgan - limLimburger - limlimburgish)","lim"
"Lingala","lin"
"Lithuanian","lit"
"Low German","nds"
"Low Saxon","nds"
"Lozi","loz" 
"Luba-Katanga","lub" 
"Luba-Lulua","lua" 
"Luiseno","lui"
"Lule Sami","smj"
"Lunda","lun" 
"Luo (Kenya and Tanzania)","luo"
"Luxembourgish","ltz"
"Lushai","lus" 
"Macedonian","mac/mkd"
"Madurese","mad" 
"Magahi","mag" 
"Maithili","mai"
"Makasar","mak"
"Malagasy","mlg"
"Malay","may/msa"
"Malayalam","mal"
"Maltese","mlt"
"Manchu","mnc"
"Mandar","mdr"
"Mandingo","man"
"Manipuri","mni" 
"Manobo languages","mno" 
"Manx","glv"
"Maori","mao/mri"
"Marathi","mar"
"Mari","chm" 
"Marshallese","mah"
"Marwari","mwr" 
"Masai","mas" 
"Mayan languages","myn" 
"Mende","men" 
"Micmac","mic" 
"Minangkabau","min" 
"Miscellaneous languages","mis" 
"Mohawk","moh" 
"Moksha","mdf"
"Moldavian","mol"
"Mon-Khmer (Other)","mkh" 
"Mongo","lol" 
"Mongolian","mon"
"Mossi","mos" 
"Multiple languages","mul" 
"Munda languages","mun" 
"Nahuatl","nah" 
"Nauru","nau"
"Navaho","nav"
"Navajo","nav"
"Ndebele, North","nde"
"Ndebele, South","nbl"
"Ndonga, ndoNeapolitan","nap"
"Nepali","nep"
"Newari","new" 
"Nias","nia" 
"Niger-Kordofanian (Other)","nic"
"Nilo-Saharan (Other)","ssa" 
"Niuean","niu" 
"Nogai","nog"
"Norse, Old","non"
"North American Indian (Other)","nai" 
"Northern Sami","sme"
"North Ndebele","nde"
"Norwegian","nor"
"Norwegian Bokmål","nob"
"Norwegian Nynorsk","nno"
"Nubian languages","nub" 
"Nyamwezi","nym" 
"Nyanja","nya"
"Nyankole","nyn"
"Nynorsk, Norwegian","nno" 
"Nyoro","nyo" 
"Nzima","nzi" 
"Occitan (post 1500)","oci"
"Ojibwa","oji" 
"Old Bulgarian","chu"
"Old Church Slavonic","chu"
"Old Slavonic","chu"
"Oriya","ori"
"Oromo","orm"
"Osage","osa"
"Ossetian - Ossetic","oss"
"Otomian languages","oto"
"Pahlavi","pal" 
"Palauan","pau"
"Pali","pli"
"Pampanga","pam"
"Pangasinan","pag"
"Panjabi","pan"
"Papiamento","pap" 
"Papuan (Other)","paa" 
"Persian","per/fas"
"Persian, Old (ca.600-400)","peo" 
"Philippine (Other)","phi" 
"Phoenician","phn" 
"Pohnpeian","pon" 
"Polish","pol"
"Portuguese","por"
"Prakrit languages","pra"
"Provençal","oci"
"Provençal, Old (to 1500)","pro" 
"Pushto","pus"
"Quechua","que"
"Raeto-Romance","roh"
"Rajasthani","raj"
"Rapanui","rap"
"Rarotongan","rar"
"Romance (Other)","roa"
"Romanian","rum/ron"
"Romany","rom" 
"Rundi","run"
"Russian","rus"
"Salishan languages","sal" 
"Samaritan Aramaic","sam" 
"Sami languages (Other)","smi" 
"Samoan","smo"
"Sandawe","sad" 
"Sango","sag"
"Sanskrit","san"
"Santali","sat"
"Sardinian","srd"
"Sasak","sas" 
"Saxon, Low","nds"
"Scots","sco"
"Scottish Gaelic","gla"  
"Selkup","sel" 
"Semitic (Other)","sem" 
"Serbian","srp"
"Serer","srr" 
"Shan","shn" 
"Shona","sna"
"Sichuan Yi","iii"
"Sidamo","sid" 
"Sign languages","sgn" 
"Siksika","bla" 
"Sindhi","snd"
"Sinhalese","sin"
"Sino-Tibetan (Other)","sit"
"Siouan languages","sio"
"Skolt Sami","sms" 
"Slave (Athapascan)","den" 
"Slavic (Other)","sla" 
"Slovak","slo"
"Slovenian","slv"
"Sogdian","sog" 
"Somali","som"
"Songhai","son" 
"Soninke","snk" 
"Sorbian languages","wen" 
"Sotho, Northern","nso" 
